Unnamed: 0,char,dialog,movie,dialog_length,word_count,sentiment,confidence,dominant_topic,topic_label
64,FRODO,    To the harbour Bilbo. The elves have accorded you a special honour. A place     on the last ship to leave Middle Earth.  ,The Return of the King ,125.0,22.0,POSITIVE,0.9978918433189392,Topic 3,The Ring & Power
65,BILBO,"    Frodo, any chance of seeing that old Ring of mine again? The one I gave you? ",The Return of the King ,81.0,16.0,NEGATIVE,0.9970242381095886,Topic 3,The Ring & Power
66,PIPPIN," We are sitting on a field of     victory enjoying a few well earned comforts , The salted pork is particularly good.  ",The Return of the King ,119.0,21.0,POSITIVE,0.9998500347137452,Topic 4,Journey & Quest
67,GIMLI,Salted pork'  ,The Return of the King ,14.0,2.0,NEGATIVE,0.8892309069633484,Topic 1,War & Battle
68,GANDALF,Hobbits!  ,The Return of the King ,10.0,1.0,POSITIVE,0.9942460656166076,Topic 6,Hope & Courage
69,MERRY,We're under orders from Treebeard who's taken over management of Isengard.        ,The Return of the King ,82.0,11.0,NEGATIVE,0.7070575952529907,Topic 3,The Ring & Power
70,TREEBEARD,"Hoooom, young master Gandalf, I'm glad you've come. Wood and water,     stock and stone I can master, but there is a Wizard to manage here locked in     his tower ",The Return of the King ,163.0,29.0,POSITIVE,0.9982858300209044,Topic 1,War & Battle
71,ARAGORN," , Show yourself.     ",The Return of the King ,22.0,3.0,POSITIVE,0.99573415517807,Topic 1,War & Battle
72,GANDALF,"Be careful. Even in defeat, Saruman is dangerous.  ",The Return of the King ,51.0,8.0,POSITIVE,0.957331120967865,Topic 6,Hope & Courage
73,GIMLI,Well then let's just have his head and be done with it.  ,The Return of the King ,57.0,12.0,NEGATIVE,0.9982256293296814,Topic 2,Friendship & Loyalty
74,GANDALF,"No, we need him alive. We need him to talk.  ",The Return of the King ,45.0,10.0,NEGATIVE,0.995860517024994,Topic 3,The Ring & Power
75,SARUMAN,"You have fought many wars and slain many men Theoden King and made peace afterwards. Can we not take counsel together as we once did, my old friend?Can we not have peace you and I? ",The Return of the King ,181.0,35.0,NEGATIVE,0.7415745258331299,Topic 3,The Ring & Power
76,THEODEN,We shall have peace'. We shall have peace when you answer for the     burning of the Westfold and the children that lie dead there! We shall have peace when the lives of the soldiers whose bodies were hewn even as they lay dead against the gates of the Hornburg' are avenged! When you hang from a gibbet for the sport of your own crows' we shall have peace!  ,The Return of the King ,359.0,68.0,POSITIVE,0.9966546297073364,Topic 2,Friendship & Loyalty
77,SARUMAN,Gibbets and crows! Dotard! What do you want Gandalf Grahame? Let me guess' the key of Orthanc? Or perhaps the keys of Barad D'r itself? Along with the crowns of the seven Kings and the rods of the Five Wizards!  ,The Return of the King ,212.0,40.0,NEGATIVE,0.998823344707489,Topic 3,The Ring & Power
78,GANDALF,Your treachery has already cost many lives. Thousands more are now at     risk. But you could save them Saruman. You were deep in the enemy's counsel.     ,The Return of the King ,155.0,26.0,POSITIVE,0.8240975737571716,Topic 6,Hope & Courage
79,FRODO,    I'm sorry uncle. I'm afraid I lost it.  ,The Return of the King ,44.0,8.0,NEGATIVE,0.9996525049209596,Topic 7,Death & Sacrifice
80,BILBO,"    Oh, pity. (He sighs.) I would have like to have held it one last time.  ",The Return of the King ,76.0,15.0,NEGATIVE,0.9986096620559692,Topic 7,Death & Sacrifice
81,BILBO,    Oh! Well here is a sight I have never seen before.  ,The Return of the King ,56.0,11.0,POSITIVE,0.9980016350746156,Topic 1,War & Battle
82,GALADRIL,    The power of the three rings is ended. The time has come for the dominion of     men.  ,The Return of the King ,91.0,17.0,NEGATIVE,0.8169172406196594,Topic 3,The Ring & Power
83,ELROND,     I Aear c'n ven na mar.  ,The Return of the King ,29.0,6.0,NEGATIVE,0.9565082788467408,Topic 5,Fear & Danger
84,BILBO,    I think I'm quite ready for another adventure.  ,The Return of the King ,52.0,8.0,POSITIVE,0.9961597919464112,Topic 8,Home & Peace
85,GANDALF,"    Farewell my brave Hobbits. , My work is now finished.    ,Here at last, on the     shores of the sea, comes the end of our Fellowship. , I will not say do not weep for not all     tears are an evil. , It is time Frodo.     ",The Return of the King ,227.0,45.0,NEGATIVE,0.7808257937431335,Topic 6,Hope & Courage
86,SAM,    What does he mean?  ,The Return of the King ,24.0,4.0,NEGATIVE,0.9898736476898192,Topic 3,The Ring & Power
87,FRODO,"    We set out to save the Shire Sam and it has been saved, but not for me.  ",The Return of the King ,77.0,17.0,NEGATIVE,0.9739755392074584,Topic 7,Death & Sacrifice
88,SAM,"    , You don't mean that. You can't     leave. ",The Return of the King ,48.0,8.0,POSITIVE,0.9975147247314452,Topic 3,The Ring & Power
89,FRODO,    The last pages are for you Sam.  ,The Return of the King ,37.0,7.0,POSITIVE,0.9988577365875244,Topic 3,The Ring & Power
90,SARUMAN,"So you have come here for information. I have some for you.    ,Something festers in the heart of Middle Earth. Something that you have failed to see. But the great eye has seen it! Even now he presses his advantage. His attack will come soon.     ,     You are all going to die! But you know this don't you Gandalf? You cannot think that this Ranger will ever sit upon the throne of Gondor. This exile, crept from the shadows will never be crowned King. ,Gandalf does not hesitate to sacrifice those who are closest to him' those he professes to love! Tell me, what words of comfort did you give the Halfling before you sent him to his doom? The path that you have set him on can only lead to death.  ",The Return of the King ,702.0,132.0,POSITIVE,0.9897922277450562,Topic 3,The Ring & Power
91,GIMLI,I've heard enough! Shoot him! Stick an arrow in his gob!  ,The Return of the King ,58.0,11.0,NEGATIVE,0.9916324019432068,Topic 8,Home & Peace
92,GANDALF,No! Come down Saruman and your life will be spared!  ,The Return of the King ,53.0,10.0,NEGATIVE,0.9837307929992676,Topic 6,Hope & Courage
93,SARUMAN,Save your pity and your mercy. I have no use for it!    ,The Return of the King ,56.0,12.0,NEGATIVE,0.99577134847641,Topic 7,Death & Sacrifice
94,GANDALF,Saruman'.. your staff is broken!  ,The Return of the King ,34.0,5.0,NEGATIVE,0.9996559619903564,Topic 4,Journey & Quest
95,THEODEN,Grima! You need not follow him! You were not always as you are now. You were once a man of Rohan. Come down.  ,The Return of the King ,110.0,23.0,NEGATIVE,0.9954968690872192,Topic 7,Death & Sacrifice
96,SARUMAN,A man of Rohan? What is the house of Rohan but a thatched barn where brigands drink in the reek and their brats roll on the floor with the dogs? The victory at Helms Deep does not belong to you Theoden Horse Master. You are a lesser son of greater sires!  ,The Return of the King ,256.0,51.0,NEGATIVE,0.9911924004554749,Topic 4,Journey & Quest
97,THEODEN,Grima'. Come down! Be free of him!  ,The Return of the King ,36.0,7.0,NEGATIVE,0.997936487197876,Topic 7,Death & Sacrifice
98,SARUMAN,Free? He will never be free! ,The Return of the King ,29.0,6.0,NEGATIVE,0.981476366519928,Topic 4,Journey & Quest
99,GRIMA,No!  ,The Return of the King ,5.0,1.0,NEGATIVE,0.997668206691742,Topic 1,War & Battle
100,FRODO VOICE OVER,"    My dear Sam, you cannot always be torn in two. , You will     have to be one and whole for many years. You have so much to enjoy and to be     and to do. Your part in the story will go on.  ",The Return of the King ,194.0,42.0,POSITIVE,0.9997389912605286,Topic 3,The Ring & Power
101,SAM,"    Well, I'm back. ",The Return of the King ,20.0,3.0,POSITIVE,0.9977622032165528,Topic 1,War & Battle
102,PIPPIN,     I didn't think it would end this way.   ,The Return of the King ,45.0,8.0,NEGATIVE,0.9182981848716736,Topic 8,Home & Peace
103,GANDALF,"  End?  No, the journey doesn't end here.  Death is just another path, one that we all must take.    ,  The grey rain curtain of this world rolls back and all turns to silvered glass.  And then you see it.     ",The Return of the King ,210.0,39.0,POSITIVE,0.7004565596580505,Topic 5,Fear & Danger
104,PIPPIN,  What?  Gandalf?  See what?     ,The Return of the King ,33.0,4.0,NEGATIVE,0.9854441285133362,Topic 1,War & Battle
105,GANDALF,"  White shores and beyond,  a far green country under a swift sunrise.      ",The Return of the King ,76.0,12.0,POSITIVE,0.9966062307357788,Topic 2,Friendship & Loyalty
106,PIPPIN,"  Well, , that's not  so bad.     ",The Return of the King ,34.0,6.0,POSITIVE,0.9991798996925354,Topic 6,Hope & Courage
107,GANDALF,  No.  No it isn't.     ,The Return of the King ,24.0,4.0,NEGATIVE,0.9954484105110168,Topic 4,Journey & Quest
108,THEODEN,  Rally to me!  To meeee!      ,The Return of the King ,31.0,5.0,POSITIVE,0.967157542705536,Topic 1,War & Battle
109,WITCH KING,     Feast on his flesh.     ,The Return of the King ,29.0,4.0,POSITIVE,0.9991917014122008,Topic 1,War & Battle
110,EOWYN,     I will kill you if you touch him.     ,The Return of the King ,43.0,8.0,NEGATIVE,0.9500005841255188,Topic 4,Journey & Quest
111,EOWYN,     The City has fallen silent.  There is no warmth left in the sun.       ,The Return of the King ,76.0,13.0,NEGATIVE,0.9995657801628112,Topic 5,Fear & Danger
112,EOWYN,  It grows so cold.     ,The Return of the King ,24.0,4.0,NEGATIVE,0.999657154083252,Topic 5,Fear & Danger
113,FARAMIR,  It's just the damp of the first spring rain.      ,The Return of the King ,52.0,9.0,NEGATIVE,0.998679220676422,Topic 2,Friendship & Loyalty
114,FARAMIR,  I do not believe this darkness will endure.      ,The Return of the King ,51.0,8.0,NEGATIVE,0.9692015647888184,Topic 1,War & Battle
115,SAM,"  Look!  The Orcs, they're moving off!      ",The Return of the King ,44.0,6.0,POSITIVE,0.9941523671150208,Topic 6,Hope & Courage
116,SARUMAN,Get down cur! ,The Return of the King ,14.0,3.0,NEGATIVE,0.9929157495498656,Topic 1,War & Battle
117,GRIMA,Ah!  ,The Return of the King ,5.0,1.0,POSITIVE,0.9921227097511292,Topic 2,Friendship & Loyalty
118,GANDALF,Saruman! You were deep in the enemy's counsel. Tell us what you know!  ,The Return of the King ,71.0,13.0,NEGATIVE,0.7915441393852234,Topic 6,Hope & Courage
119,SARUMAN,You withdraw your guard and I will tell you where your doom will be     decided. I will not be held prisoner here!  ,The Return of the King ,116.0,22.0,POSITIVE,0.9923294186592102,Topic 8,Home & Peace
120,GANDALF,Send word to all our allies and to every corner of Middle Earth that     still stands free. The enemy moves against us. We need to know where he will     strike.  ,The Return of the King ,163.0,30.0,NEGATIVE,0.7621744871139526,Topic 3,The Ring & Power
121,TREEBEARD,"The filth of Saruman is washing away. Trees will come back to live here. ,Young trees. Wild trees.  ",The Return of the King ,100.0,18.0,POSITIVE,0.9396342039108276,Topic 6,Hope & Courage
122,ARAGORN,Pippin! ,The Return of the King ,8.0,1.0,POSITIVE,0.9990719556808472,Topic 8,Home & Peace
123,TREEBEARD,Bless my bark!  ,The Return of the King ,16.0,3.0,POSITIVE,0.9915477633476256,Topic 1,War & Battle
124,GANDALF,Peregrin Took. I'll take that my lad! Quickly now!  ,The Return of the King ,52.0,9.0,POSITIVE,0.9838454723358154,Topic 7,Death & Sacrifice
125,WITCH KING,  Do not come between the Nazg'l and his prey.     ,The Return of the King ,51.0,9.0,NEGATIVE,0.995092272758484,Topic 6,Hope & Courage
126,ORC,"  Late as usual, pirate scum. ,  There's knifework here needs doing. Come on you sea rats, get off your ships.      ",The Return of the King ,116.0,20.0,NEGATIVE,0.9968050718307496,Topic 5,Fear & Danger
127,GIMLI,"  There's plenty for the both of us, may be best Dwarf win!      ",The Return of the King ,65.0,12.0,POSITIVE,0.9977422952651978,Topic 5,Fear & Danger
128,WITCH KING,  You fool!  No man can kill me.  Die now!    ,The Return of the King ,46.0,9.0,NEGATIVE,0.9871238470077516,Topic 4,Journey & Quest
129,EOWYN,  I am no man!      ,The Return of the King ,20.0,4.0,NEGATIVE,0.9832100868225098,Topic 7,Death & Sacrifice
130,SAM,  You see Mr Frodo some luck at last!     ,The Return of the King ,42.0,8.0,POSITIVE,0.9994907379150392,Topic 8,Home & Peace
131,ORC,"  Move it, you slugs!      ",The Return of the King ,27.0,4.0,POSITIVE,0.9850714206695556,Topic 1,War & Battle
132,ORC,  Come on!  Faster!      ,The Return of the King ,25.0,3.0,POSITIVE,0.9970663189888,Topic 5,Fear & Danger
133,ORC,"  Come along you scum! ,  I'll whip you down to the bone!  Come on!  What have I told you.    ,  Get up!    ,  Come on you slugs!  You two are going straight to the front line!  Move it, come on!  Fall in!  Move it! Move it! Move it!      ",The Return of the King ,239.0,48.0,NEGATIVE,0.6845335364341736,Topic 5,Fear & Danger
134,ORC,"  To the gate you slugs, now move it! ,  Don't you know we're at war?      ",The Return of the King ,75.0,15.0,NEGATIVE,0.9416496753692628,Topic 6,Hope & Courage
135,ORC,  Company halt!  Inspection!      ,The Return of the King ,34.0,3.0,NEGATIVE,0.9984173774719238,Topic 1,War & Battle
136,FRODO,  Sam!  Help me!      ,The Return of the King ,22.0,3.0,POSITIVE,0.5352275371551514,Topic 7,Death & Sacrifice
137,SAM,  Mr Frodo!      ,The Return of the King ,17.0,2.0,POSITIVE,0.9948199391365052,Topic 8,Home & Peace
138,SAM,  Stand up Mr Frodo.  Stand up!     ,The Return of the King ,36.0,6.0,POSITIVE,0.9971973896026612,Topic 6,Hope & Courage
139,FRODO,  It's so heavy!      ,The Return of the King ,22.0,3.0,NEGATIVE,0.9987767338752748,Topic 1,War & Battle
140,SAM,"  Oh no!  What do I do? ,  What do I do?      ",The Return of the King ,46.0,11.0,NEGATIVE,0.9958215951919556,Topic 1,War & Battle
141,FRODO, Hit me!  Hit me Sam!  Start fighting!      ,The Return of the King ,44.0,7.0,NEGATIVE,0.9782885313034058,Topic 3,The Ring & Power
142,SAM,"  Get off of me! ,  Nobody pushes me you filthy maggot!    ,  Get off of me!      ",The Return of the King ,82.0,16.0,NEGATIVE,0.9837669134140016,Topic 1,War & Battle
143, GANDALF,      Retreat! The city is breached. Fall back to the second level. Get the     women and children out. Get them out. Retreat.  ,The Return of the King ,128.0,21.0,NEGATIVE,0.9982805252075196,Topic 1,War & Battle
144,SOLDIERS ON GATE,"    Come on, come on!  ",The Return of the King ,23.0,4.0,POSITIVE,0.9882360100746156,Topic 5,Fear & Danger
145,GOTHMOG,    Move into the city. Kill all in your path.  ,The Return of the King ,48.0,9.0,NEGATIVE,0.9972715973854064,Topic 1,War & Battle
146,ORC,  Break it up!  Break it up!     ,The Return of the King ,33.0,6.0,NEGATIVE,0.9937847852706908,Topic 8,Home & Peace
147,GENERAL,  Oy!  I'll have your guts if you don't shut this rabble down!      ,The Return of the King ,68.0,12.0,NEGATIVE,0.939763069152832,Topic 3,The Ring & Power
148,FRODO,     Go Sam.  Now!      ,The Return of the King ,24.0,3.0,POSITIVE,0.9987735152244568,Topic 3,The Ring & Power
149,GENERAL,  Move along scum!      ,The Return of the King ,24.0,3.0,NEGATIVE,0.998836100101471,Topic 5,Fear & Danger
150,CAPTAIN,  Get back in the line you maggots!  Get back in the line you slugs!      ,The Return of the King ,74.0,14.0,NEGATIVE,0.9871930480003356,Topic 6,Hope & Courage
151,FRODO,  I can't!  I can't' I can't manage the Ring Sam.  It's' it's' such a weight to carry.  It's such a weight.         ,The Return of the King ,116.0,21.0,NEGATIVE,0.9950236082077026,Topic 3,The Ring & Power
152,SOLDIER,    Take them down!  ,The Return of the King ,21.0,3.0,NEGATIVE,0.9653140306472778,Topic 1,War & Battle
153,GANDALF,    Fight! Fight to the last man. Fight for your lives.  ,The Return of the King ,57.0,10.0,POSITIVE,0.5454197525978088,Topic 4,Journey & Quest
154,PIPPIN,"    Gandalf! ,     Gandalf! Denethor has lost his mind. He's burning Faramir alive!  ",The Return of the King ,85.0,12.0,NEGATIVE,0.9940937161445618,Topic 1,War & Battle
155,GANDALF,    Up! Quickly!  ,The Return of the King ,18.0,2.0,POSITIVE,0.9991281628608704,Topic 7,Death & Sacrifice
156,GANDALF,"    ,     Go back to the abyss! Fall into the nothingness that awaits you and your     master!  ",The Return of the King ,96.0,16.0,NEGATIVE,0.9898942112922668,Topic 2,Friendship & Loyalty
157,WITCH KING,"    Do you not know death when you see it, old man? , This is my hour!     ",The Return of the King ,75.0,16.0,NEGATIVE,0.8809319734573364,Topic 5,Fear & Danger
158,PIPPIN,     Gandalf!  ,The Return of the King ,15.0,1.0,POSITIVE,0.9959740042686462,Topic 1,War & Battle
159,PIPPIN,"    AAAAhhh! ,  ",The Return of the King ,16.0,2.0,POSITIVE,0.8732868432998657,Topic 1,War & Battle
160,WITCH KING,    You have failed! The world of men will fall.  ,The Return of the King ,50.0,9.0,NEGATIVE,0.9985598921775818,Topic 3,The Ring & Power
161,SAM,"    ,  We're going that way, straight as we can.  There's no point carrying anything we're not sure to need.      ",The Return of the King ,114.0,19.0,NEGATIVE,0.9958971738815308,Topic 3,The Ring & Power
162,SAM,"  Mr Frodo, look. ,  There is light and beauty up there that no shadow can touch.      ",The Return of the King ,87.0,16.0,POSITIVE,0.9994094371795654,Topic 8,Home & Peace
163,SAM,"  Take mine. ,  There's a few drops left.      ",The Return of the King ,47.0,8.0,NEGATIVE,0.9945588707923888,Topic 5,Fear & Danger
164,FRODO,  There will be none left for the return journey.      ,The Return of the King ,55.0,9.0,NEGATIVE,0.9899429082870485,Topic 5,Fear & Danger
165,SAM,  I don't think there will be a return journey Mr Frodo.      ,The Return of the King ,62.0,11.0,NEGATIVE,0.9925536513328552,Topic 8,Home & Peace
166,SAM,"  Frodo, get down! ,  Hide!      ",The Return of the King ,33.0,5.0,NEGATIVE,0.996013879776001,Topic 2,Friendship & Loyalty
167,SAM,     Frodo!      ,The Return of the King ,17.0,1.0,POSITIVE,0.9916398525238036,Topic 8,Home & Peace
168,PIPPIN,  Where are they?     ,The Return of the King ,22.0,3.0,NEGATIVE,0.9955142140388488,Topic 1,War & Battle
169,ARAGORN,"  Let the Lord of the Black Land come forth! ,  Let justice be done upon him!      ",The Return of the King ,83.0,16.0,POSITIVE,0.93256276845932,Topic 2,Friendship & Loyalty
170,MOUTH OF SAURON,  My master Sauron the Great bids thee welcome.      ,The Return of the King ,53.0,8.0,POSITIVE,0.9995539784431458,Topic 8,Home & Peace
171,MOUTH OF SAURON, Is there any in this rout with authority to treat with me?     ,The Return of the King ,64.0,12.0,NEGATIVE,0.99700528383255,Topic 1,War & Battle
