Unnamed: 0,char,dialog,movie,dialog_length,word_count,sentiment,confidence
36,ARAGORN,    Et E'rello Endorenna ut'lien. Sinome maruvan ar Hildinyar tenn' Ambar-metta!     ,The Return of the King ,85.0,10.0,NEGATIVE,0.9181522727012634
37,ARAGORN,    Hannon le. ,The Return of the King ,15.0,2.0,POSITIVE,0.985079824924469
38,ARAGORN,"    My friends, , you bow to     no-one.  ",The Return of the King ,42.0,7.0,NEGATIVE,0.5529003739356995
39,FRODO,"    ,And thus     it was a Fourth Age of Middle Earth began. And the Fellowship of the Ring,     though eternally bound by friendship and love was ended.            Thirteen months to the day since Gandalf sent us on our long journey we find     ourselves looking upon a familiar sight.  ",The Return of the King ,288.0,47.0,POSITIVE,0.9986860156059265
40,FRODO,    We were home.  ,The Return of the King ,19.0,3.0,POSITIVE,0.9998038411140442
41,PIPPIN,    Alright!  ,The Return of the King ,14.0,1.0,POSITIVE,0.999683141708374
42,HOBBIT,    Hey watch the pumpkin. ,The Return of the King ,27.0,4.0,POSITIVE,0.9899682402610779
43,ROSIE,    Goodnight lads.  ,The Return of the King ,21.0,2.0,NEGATIVE,0.9492152333259583
44,SAM,"Oh alright, but we don't have that much left. We have to be careful or     we are going to run out. You go ahead and eat that Mr Frodo. I've rationed     it, there should be enough.  ",The Return of the King ,183.0,36.0,NEGATIVE,0.9912393689155579
45,FRODO,For what?  ,The Return of the King ,11.0,2.0,NEGATIVE,0.991776704788208
46,SAM,The journey home.  ,The Return of the King ,19.0,3.0,POSITIVE,0.9997182488441467
47,GOLLUM,"Come Hobbitses, very close now. Very close to Mordor. No safe places here. Hurry.  ",The Return of the King ,83.0,14.0,NEGATIVE,0.9989954829216003
48,MERRY,"It's good. Definitely from the Shire. ,Longbottom leaf eh?  ",The Return of the King ,60.0,9.0,POSITIVE,0.9998469352722168
49,PIPPIN,"uhh huh , I feel like I'm back at the Green Dragon.  ",The Return of the King ,53.0,12.0,POSITIVE,0.7247067093849182
50,MERRY,"Mmmm , Green Dragon!  ",The Return of the King ,22.0,4.0,POSITIVE,0.9840835928916931
51,PIPPIN,A mug of ale in my hand. Putting my feet up on a settle after a hard     day's work.  ,The Return of the King ,86.0,19.0,NEGATIVE,0.6940637826919556
52,MERRY,"Only, , you've never done a hard day's work.     ",The Return of the King ,49.0,9.0,POSITIVE,0.9950395226478577
53,PIPPIN,Ahaha! ,The Return of the King ,7.0,1.0,POSITIVE,0.9875745177268982
54,MERRY,"Welcome, my lords to Isengard!  ",The Return of the King ,32.0,5.0,POSITIVE,0.999704897403717
55,GIMLI,You young rascals. A merry hunt you've led us on and now we find you     feasting and ' and smoking!  ,The Return of the King ,102.0,20.0,POSITIVE,0.9988428354263306
56,PIPPIN,    Hmm?  ,The Return of the King ,10.0,1.0,NEGATIVE,0.9931548833847046
57,FRODO,"    How do you pick up the threads of an old life? How do you go on, when in     your heart you begin to understand there is no going back? There are some     things that time cannot mend. Some hurts that go too deep, that have taken     hold. ",The Return of the King ,244.0,47.0,NEGATIVE,0.9017953872680664
58,SAM,    Mr Frodo? What is it?  ,The Return of the King ,27.0,5.0,NEGATIVE,0.9960035681724548
59,FRODO,    It's been four years to the day since Weathertop Sam. It's never really     healed.  ,The Return of the King ,89.0,14.0,NEGATIVE,0.9996069073677063
60,SAM,"    , There and Back Again, a Hobbits tale     by Bilbo Baggins and the Lord of the Rings by Frodo Baggins. You finished     it. ",The Return of the King ,129.0,23.0,POSITIVE,0.9947899580001831
61,FRODO,    Not quite. There's room for a little more.  ,The Return of the King ,48.0,8.0,NEGATIVE,0.999627947807312
62,FRODO,"    Bilbo once told me his part in this tale would end. That each of us must     come and go in the telling. Bilbo's story was now over. There would be no     more journeys for him. , save one.  ",The Return of the King ,195.0,38.0,NEGATIVE,0.996931791305542
63,BILBO,"    Tell me again lad, where are we going? ",The Return of the King ,43.0,8.0,NEGATIVE,0.9898588061332703
64,FRODO,    To the harbour Bilbo. The elves have accorded you a special honour. A place     on the last ship to leave Middle Earth.  ,The Return of the King ,125.0,22.0,POSITIVE,0.9978918433189392
65,BILBO,"    Frodo, any chance of seeing that old Ring of mine again? The one I gave you? ",The Return of the King ,81.0,16.0,NEGATIVE,0.9970242381095886
66,PIPPIN," We are sitting on a field of     victory enjoying a few well earned comforts , The salted pork is particularly good.  ",The Return of the King ,119.0,21.0,POSITIVE,0.9998500347137451
67,GIMLI,Salted pork'  ,The Return of the King ,14.0,2.0,NEGATIVE,0.8892309069633484
68,GANDALF,Hobbits!  ,The Return of the King ,10.0,1.0,POSITIVE,0.9942460656166077
69,MERRY,We're under orders from Treebeard who's taken over management of Isengard.        ,The Return of the King ,82.0,11.0,NEGATIVE,0.7070575952529907
70,TREEBEARD,"Hoooom, young master Gandalf, I'm glad you've come. Wood and water,     stock and stone I can master, but there is a Wizard to manage here locked in     his tower ",The Return of the King ,163.0,29.0,POSITIVE,0.9982858300209045
71,ARAGORN," , Show yourself.     ",The Return of the King ,22.0,3.0,POSITIVE,0.9957341551780701
72,GANDALF,"Be careful. Even in defeat, Saruman is dangerous.  ",The Return of the King ,51.0,8.0,POSITIVE,0.957331120967865
73,GIMLI,Well then let's just have his head and be done with it.  ,The Return of the King ,57.0,12.0,NEGATIVE,0.9982256293296814
74,GANDALF,"No, we need him alive. We need him to talk.  ",The Return of the King ,45.0,10.0,NEGATIVE,0.9958605170249939
75,SARUMAN,"You have fought many wars and slain many men Theoden King and made peace afterwards. Can we not take counsel together as we once did, my old friend?Can we not have peace you and I? ",The Return of the King ,181.0,35.0,NEGATIVE,0.7415745258331299
76,THEODEN,We shall have peace'. We shall have peace when you answer for the     burning of the Westfold and the children that lie dead there! We shall have peace when the lives of the soldiers whose bodies were hewn even as they lay dead against the gates of the Hornburg' are avenged! When you hang from a gibbet for the sport of your own crows' we shall have peace!  ,The Return of the King ,359.0,68.0,POSITIVE,0.9966546297073364
77,SARUMAN,Gibbets and crows! Dotard! What do you want Gandalf Grahame? Let me guess' the key of Orthanc? Or perhaps the keys of Barad D'r itself? Along with the crowns of the seven Kings and the rods of the Five Wizards!  ,The Return of the King ,212.0,40.0,NEGATIVE,0.998823344707489
78,GANDALF,Your treachery has already cost many lives. Thousands more are now at     risk. But you could save them Saruman. You were deep in the enemy's counsel.     ,The Return of the King ,155.0,26.0,POSITIVE,0.8240975737571716
79,FRODO,    I'm sorry uncle. I'm afraid I lost it.  ,The Return of the King ,44.0,8.0,NEGATIVE,0.9996525049209595
80,BILBO,"    Oh, pity. (He sighs.) I would have like to have held it one last time.  ",The Return of the King ,76.0,15.0,NEGATIVE,0.9986096620559692
81,BILBO,    Oh! Well here is a sight I have never seen before.  ,The Return of the King ,56.0,11.0,POSITIVE,0.9980016350746155
82,GALADRIL,    The power of the three rings is ended. The time has come for the dominion of     men.  ,The Return of the King ,91.0,17.0,NEGATIVE,0.8169172406196594
83,ELROND,     I Aear c'n ven na mar.  ,The Return of the King ,29.0,6.0,NEGATIVE,0.9565082788467407
84,BILBO,    I think I'm quite ready for another adventure.  ,The Return of the King ,52.0,8.0,POSITIVE,0.9961597919464111
85,GANDALF,"    Farewell my brave Hobbits. , My work is now finished.    ,Here at last, on the     shores of the sea, comes the end of our Fellowship. , I will not say do not weep for not all     tears are an evil. , It is time Frodo.     ",The Return of the King ,227.0,45.0,NEGATIVE,0.7808257937431335
86,SAM,    What does he mean?  ,The Return of the King ,24.0,4.0,NEGATIVE,0.9898736476898193
87,FRODO,"    We set out to save the Shire Sam and it has been saved, but not for me.  ",The Return of the King ,77.0,17.0,NEGATIVE,0.9739755392074585
88,SAM,"    , You don't mean that. You can't     leave. ",The Return of the King ,48.0,8.0,POSITIVE,0.9975147247314453
89,FRODO,    The last pages are for you Sam.  ,The Return of the King ,37.0,7.0,POSITIVE,0.9988577365875244
90,SARUMAN,"So you have come here for information. I have some for you.    ,Something festers in the heart of Middle Earth. Something that you have failed to see. But the great eye has seen it! Even now he presses his advantage. His attack will come soon.     ,     You are all going to die! But you know this don't you Gandalf? You cannot think that this Ranger will ever sit upon the throne of Gondor. This exile, crept from the shadows will never be crowned King. ,Gandalf does not hesitate to sacrifice those who are closest to him' those he professes to love! Tell me, what words of comfort did you give the Halfling before you sent him to his doom? The path that you have set him on can only lead to death.  ",The Return of the King ,702.0,132.0,POSITIVE,0.9897922277450562
91,GIMLI,I've heard enough! Shoot him! Stick an arrow in his gob!  ,The Return of the King ,58.0,11.0,NEGATIVE,0.9916324019432068
92,GANDALF,No! Come down Saruman and your life will be spared!  ,The Return of the King ,53.0,10.0,NEGATIVE,0.9837307929992676
93,SARUMAN,Save your pity and your mercy. I have no use for it!    ,The Return of the King ,56.0,12.0,NEGATIVE,0.9957713484764099
94,GANDALF,Saruman'.. your staff is broken!  ,The Return of the King ,34.0,5.0,NEGATIVE,0.9996559619903564
95,THEODEN,Grima! You need not follow him! You were not always as you are now. You were once a man of Rohan. Come down.  ,The Return of the King ,110.0,23.0,NEGATIVE,0.9954968690872192
96,SARUMAN,A man of Rohan? What is the house of Rohan but a thatched barn where brigands drink in the reek and their brats roll on the floor with the dogs? The victory at Helms Deep does not belong to you Theoden Horse Master. You are a lesser son of greater sires!  ,The Return of the King ,256.0,51.0,NEGATIVE,0.9911924004554749
97,THEODEN,Grima'. Come down! Be free of him!  ,The Return of the King ,36.0,7.0,NEGATIVE,0.997936487197876
98,SARUMAN,Free? He will never be free! ,The Return of the King ,29.0,6.0,NEGATIVE,0.981476366519928
99,GRIMA,No!  ,The Return of the King ,5.0,1.0,NEGATIVE,0.9976682066917419
100,FRODO VOICE OVER,"    My dear Sam, you cannot always be torn in two. , You will     have to be one and whole for many years. You have so much to enjoy and to be     and to do. Your part in the story will go on.  ",The Return of the King ,194.0,42.0,POSITIVE,0.9997389912605286
101,SAM,"    Well, I'm back. ",The Return of the King ,20.0,3.0,POSITIVE,0.9977622032165527
102,PIPPIN,     I didn't think it would end this way.   ,The Return of the King ,45.0,8.0,NEGATIVE,0.9182981848716736
103,GANDALF,"  End?  No, the journey doesn't end here.  Death is just another path, one that we all must take.    ,  The grey rain curtain of this world rolls back and all turns to silvered glass.  And then you see it.     ",The Return of the King ,210.0,39.0,POSITIVE,0.7004565596580505
104,PIPPIN,  What?  Gandalf?  See what?     ,The Return of the King ,33.0,4.0,NEGATIVE,0.9854441285133362
105,GANDALF,"  White shores and beyond,  a far green country under a swift sunrise.      ",The Return of the King ,76.0,12.0,POSITIVE,0.9966062307357788
106,PIPPIN,"  Well, , that's not  so bad.     ",The Return of the King ,34.0,6.0,POSITIVE,0.9991798996925354
107,GANDALF,  No.  No it isn't.     ,The Return of the King ,24.0,4.0,NEGATIVE,0.9954484105110168
108,THEODEN,  Rally to me!  To meeee!      ,The Return of the King ,31.0,5.0,POSITIVE,0.9671575427055359
109,WITCH KING,     Feast on his flesh.     ,The Return of the King ,29.0,4.0,POSITIVE,0.9991917014122009
110,EOWYN,     I will kill you if you touch him.     ,The Return of the King ,43.0,8.0,NEGATIVE,0.9500005841255188
111,EOWYN,     The City has fallen silent.  There is no warmth left in the sun.       ,The Return of the King ,76.0,13.0,NEGATIVE,0.9995657801628113
112,EOWYN,  It grows so cold.     ,The Return of the King ,24.0,4.0,NEGATIVE,0.999657154083252
113,FARAMIR,  It's just the damp of the first spring rain.      ,The Return of the King ,52.0,9.0,NEGATIVE,0.9986792206764221
114,FARAMIR,  I do not believe this darkness will endure.      ,The Return of the King ,51.0,8.0,NEGATIVE,0.9692015647888184
115,SAM,"  Look!  The Orcs, they're moving off!      ",The Return of the King ,44.0,6.0,POSITIVE,0.9941523671150208
116,SARUMAN,Get down cur! ,The Return of the King ,14.0,3.0,NEGATIVE,0.9929157495498657
117,GRIMA,Ah!  ,The Return of the King ,5.0,1.0,POSITIVE,0.9921227097511292
118,GANDALF,Saruman! You were deep in the enemy's counsel. Tell us what you know!  ,The Return of the King ,71.0,13.0,NEGATIVE,0.7915441393852234
119,SARUMAN,You withdraw your guard and I will tell you where your doom will be     decided. I will not be held prisoner here!  ,The Return of the King ,116.0,22.0,POSITIVE,0.9923294186592102
120,GANDALF,Send word to all our allies and to every corner of Middle Earth that     still stands free. The enemy moves against us. We need to know where he will     strike.  ,The Return of the King ,163.0,30.0,NEGATIVE,0.7621744871139526
121,TREEBEARD,"The filth of Saruman is washing away. Trees will come back to live here. ,Young trees. Wild trees.  ",The Return of the King ,100.0,18.0,POSITIVE,0.9396342039108276
122,ARAGORN,Pippin! ,The Return of the King ,8.0,1.0,POSITIVE,0.9990719556808472
123,TREEBEARD,Bless my bark!  ,The Return of the King ,16.0,3.0,POSITIVE,0.9915477633476257
124,GANDALF,Peregrin Took. I'll take that my lad! Quickly now!  ,The Return of the King ,52.0,9.0,POSITIVE,0.9838454723358154
125,WITCH KING,  Do not come between the Nazg'l and his prey.     ,The Return of the King ,51.0,9.0,NEGATIVE,0.9950922727584839
126,ORC,"  Late as usual, pirate scum. ,  There's knifework here needs doing. Come on you sea rats, get off your ships.      ",The Return of the King ,116.0,20.0,NEGATIVE,0.9968050718307495
127,GIMLI,"  There's plenty for the both of us, may be best Dwarf win!      ",The Return of the King ,65.0,12.0,POSITIVE,0.9977422952651978
128,WITCH KING,  You fool!  No man can kill me.  Die now!    ,The Return of the King ,46.0,9.0,NEGATIVE,0.9871238470077515
129,EOWYN,  I am no man!      ,The Return of the King ,20.0,4.0,NEGATIVE,0.9832100868225098
130,SAM,  You see Mr Frodo some luck at last!     ,The Return of the King ,42.0,8.0,POSITIVE,0.9994907379150391
131,ORC,"  Move it, you slugs!      ",The Return of the King ,27.0,4.0,POSITIVE,0.9850714206695557
132,ORC,  Come on!  Faster!      ,The Return of the King ,25.0,3.0,POSITIVE,0.9970663189888
133,ORC,"  Come along you scum! ,  I'll whip you down to the bone!  Come on!  What have I told you.    ,  Get up!    ,  Come on you slugs!  You two are going straight to the front line!  Move it, come on!  Fall in!  Move it! Move it! Move it!      ",The Return of the King ,239.0,48.0,NEGATIVE,0.6845335364341736
134,ORC,"  To the gate you slugs, now move it! ,  Don't you know we're at war?      ",The Return of the King ,75.0,15.0,NEGATIVE,0.9416496753692627
135,ORC,  Company halt!  Inspection!      ,The Return of the King ,34.0,3.0,NEGATIVE,0.9984173774719238
136,FRODO,  Sam!  Help me!      ,The Return of the King ,22.0,3.0,POSITIVE,0.5352275371551514
137,SAM,  Mr Frodo!      ,The Return of the King ,17.0,2.0,POSITIVE,0.9948199391365051
138,SAM,  Stand up Mr Frodo.  Stand up!     ,The Return of the King ,36.0,6.0,POSITIVE,0.9971973896026611
139,FRODO,  It's so heavy!      ,The Return of the King ,22.0,3.0,NEGATIVE,0.9987767338752747
140,SAM,"  Oh no!  What do I do? ,  What do I do?      ",The Return of the King ,46.0,11.0,NEGATIVE,0.9958215951919556
141,FRODO, Hit me!  Hit me Sam!  Start fighting!      ,The Return of the King ,44.0,7.0,NEGATIVE,0.9782885313034058
142,SAM,"  Get off of me! ,  Nobody pushes me you filthy maggot!    ,  Get off of me!      ",The Return of the King ,82.0,16.0,NEGATIVE,0.9837669134140015
143, GANDALF,      Retreat! The city is breached. Fall back to the second level. Get the     women and children out. Get them out. Retreat.  ,The Return of the King ,128.0,21.0,NEGATIVE,0.9982805252075195
144,SOLDIERS ON GATE,"    Come on, come on!  ",The Return of the King ,23.0,4.0,POSITIVE,0.9882360100746155
145,GOTHMOG,    Move into the city. Kill all in your path.  ,The Return of the King ,48.0,9.0,NEGATIVE,0.9972715973854065
146,ORC,  Break it up!  Break it up!     ,The Return of the King ,33.0,6.0,NEGATIVE,0.9937847852706909
147,GENERAL,  Oy!  I'll have your guts if you don't shut this rabble down!      ,The Return of the King ,68.0,12.0,NEGATIVE,0.939763069152832
148,FRODO,     Go Sam.  Now!      ,The Return of the King ,24.0,3.0,POSITIVE,0.9987735152244568
149,GENERAL,  Move along scum!      ,The Return of the King ,24.0,3.0,NEGATIVE,0.998836100101471
150,CAPTAIN,  Get back in the line you maggots!  Get back in the line you slugs!      ,The Return of the King ,74.0,14.0,NEGATIVE,0.9871930480003357
151,FRODO,  I can't!  I can't' I can't manage the Ring Sam.  It's' it's' such a weight to carry.  It's such a weight.         ,The Return of the King ,116.0,21.0,NEGATIVE,0.9950236082077026
152,SOLDIER,    Take them down!  ,The Return of the King ,21.0,3.0,NEGATIVE,0.9653140306472778
153,GANDALF,    Fight! Fight to the last man. Fight for your lives.  ,The Return of the King ,57.0,10.0,POSITIVE,0.5454197525978088
154,PIPPIN,"    Gandalf! ,     Gandalf! Denethor has lost his mind. He's burning Faramir alive!  ",The Return of the King ,85.0,12.0,NEGATIVE,0.9940937161445618
155,GANDALF,    Up! Quickly!  ,The Return of the King ,18.0,2.0,POSITIVE,0.9991281628608704
156,GANDALF,"    ,     Go back to the abyss! Fall into the nothingness that awaits you and your     master!  ",The Return of the King ,96.0,16.0,NEGATIVE,0.9898942112922668
157,WITCH KING,"    Do you not know death when you see it, old man? , This is my hour!     ",The Return of the King ,75.0,16.0,NEGATIVE,0.8809319734573364
158,PIPPIN,     Gandalf!  ,The Return of the King ,15.0,1.0,POSITIVE,0.9959740042686462
159,PIPPIN,"    AAAAhhh! ,  ",The Return of the King ,16.0,2.0,POSITIVE,0.8732868432998657
160,WITCH KING,    You have failed! The world of men will fall.  ,The Return of the King ,50.0,9.0,NEGATIVE,0.9985598921775818
161,SAM,"    ,  We're going that way, straight as we can.  There's no point carrying anything we're not sure to need.      ",The Return of the King ,114.0,19.0,NEGATIVE,0.9958971738815308
162,SAM,"  Mr Frodo, look. ,  There is light and beauty up there that no shadow can touch.      ",The Return of the King ,87.0,16.0,POSITIVE,0.9994094371795654
163,SAM,"  Take mine. ,  There's a few drops left.      ",The Return of the King ,47.0,8.0,NEGATIVE,0.9945588707923889
164,FRODO,  There will be none left for the return journey.      ,The Return of the King ,55.0,9.0,NEGATIVE,0.9899429082870483
165,SAM,  I don't think there will be a return journey Mr Frodo.      ,The Return of the King ,62.0,11.0,NEGATIVE,0.9925536513328552
166,SAM,"  Frodo, get down! ,  Hide!      ",The Return of the King ,33.0,5.0,NEGATIVE,0.996013879776001
167,SAM,     Frodo!      ,The Return of the King ,17.0,1.0,POSITIVE,0.9916398525238037
168,PIPPIN,  Where are they?     ,The Return of the King ,22.0,3.0,NEGATIVE,0.9955142140388489
169,ARAGORN,"  Let the Lord of the Black Land come forth! ,  Let justice be done upon him!      ",The Return of the King ,83.0,16.0,POSITIVE,0.9325627684593201
170,MOUTH OF SAURON,  My master Sauron the Great bids thee welcome.      ,The Return of the King ,53.0,8.0,POSITIVE,0.9995539784431458
171,MOUTH OF SAURON, Is there any in this rout with authority to treat with me?     ,The Return of the King ,64.0,12.0,NEGATIVE,0.99700528383255
172,GANDALF,"  We do not come to treat with Sauron, faithless and accursed.    Tell your master this.  The armies of Mordor must disband.  He is to depart these lands, never to return.      ",The Return of the King ,177.0,30.0,NEGATIVE,0.9942052960395813
173,EOWYN,    Courage Merry. Courage for our friends.  ,The Return of the King ,45.0,6.0,POSITIVE,0.9998624324798584
174,GOTHMOG,"    Form ranks you maggots. Form ranks. Pikes in front, archers behind.     ",The Return of the King ,76.0,11.0,NEGATIVE,0.8136371374130249
175,THEODEN,"    Eomer, take your Eored down the left flank ",The Return of the King ,47.0,8.0,NEGATIVE,0.9296727180480957
176,EOMER,    Flank ready! ,The Return of the King ,17.0,2.0,POSITIVE,0.9941999912261963
177,THEODEN,"    Gamling, follow the King's banner down the centre. Grimbold! Take your company right after you pass the wall. Forth and fear no darkness!     , Arise! Arise riders of Theoden. Spears shall be shaken, shields shall be splintered, a sword day, a red day ere the sun rises!! ",The Return of the King ,276.0,47.0,NEGATIVE,0.6750624179840088
178,EOWYN,"    Whatever happens, stay with me. I'll look after you.  ",The Return of the King ,58.0,9.0,POSITIVE,0.9992138147354126
179,THEODEN,"    Ride now, ride now! Ride! Ride for ruin and the world's ending! DEATH! ",The Return of the King ,75.0,13.0,NEGATIVE,0.9991043210029602
180,ARMY,    DEATH!  ,The Return of the King ,12.0,1.0,NEGATIVE,0.9996730089187622
181,THEODEN,    DEATH!  ,The Return of the King ,12.0,1.0,NEGATIVE,0.9996730089187622
182,ARMY,    DEATH!  ,The Return of the King ,12.0,1.0,NEGATIVE,0.9996730089187622
183,THEODEN,    DEATH!  ,The Return of the King ,12.0,1.0,NEGATIVE,0.9996730089187622
184,THEODEN,    DEATH!  ,The Return of the King ,12.0,1.0,NEGATIVE,0.9996730089187622
185,MOUTH OF SAURON,  Aha!  Old Greybeard!  I have a token I was bidden to show thee.      ,The Return of the King ,71.0,13.0,POSITIVE,0.8085737228393555
186,PIPPIN,  Frodo!     ,The Return of the King ,13.0,1.0,POSITIVE,0.9916398525238037
187,PIPPIN,  Frodo!     ,The Return of the King ,13.0,1.0,POSITIVE,0.9916398525238037
188,GANDALF,  Silence!     ,The Return of the King ,15.0,1.0,NEGATIVE,0.9979479908943176
189,MERRY,  No!      ,The Return of the King ,11.0,1.0,NEGATIVE,0.9976682066917419
190,GANDALF,  Silence!     ,The Return of the King ,15.0,1.0,NEGATIVE,0.9979479908943176
191,MOUTH OF SAURON,"  The Halfling was dear to thee I see.  Know that he suffered greatly at the hands of his host.  Who would've thought one so small could endure so much pain?  And he did Gandalf, he did.      ",The Return of the King ,192.0,36.0,POSITIVE,0.7418730854988098
192,ARAGORN,    You may go no further.  ,The Return of the King ,28.0,5.0,NEGATIVE,0.908658504486084
193,ARAGORN,You will not enter Gondor ,The Return of the King ,26.0,5.0,NEGATIVE,0.9980118274688721
194,BOSON,Who are you to deny us passage?  ,The Return of the King ,33.0,7.0,NEGATIVE,0.9845215678215027
195,ARAGORN,"Legolas, fire a warning shot past the boson's ear.  ",The Return of the King ,52.0,9.0,NEGATIVE,0.8850657343864441
196,GIMLI,Mind your aim. ,The Return of the King ,15.0,3.0,POSITIVE,0.7554252743721008
197,GIMLI,"Oh! , That's     it, right, we warned you! Prepare to be boarded!  ",The Return of the King ,67.0,12.0,NEGATIVE,0.9679530262947083
198,MERCENARY,"Boarded, by you and whose army?  ",The Return of the King ,33.0,6.0,NEGATIVE,0.9910972118377686
199,EOWYN/MERRY,    DEATH!  ,The Return of the King ,12.0,1.0,NEGATIVE,0.9996730089187622
200,THEODEN,    Forth Eorlingas!  ,The Return of the King ,22.0,2.0,POSITIVE,0.9898624420166016
201,GOTHMOG,    FIRE! ,The Return of the King ,10.0,1.0,POSITIVE,0.992239236831665
202,MERRY,    DEEEEAAATH! ,The Return of the King ,16.0,1.0,NEGATIVE,0.9866211414337158
203,THEODEN,    CHAAAAARGE!  ,The Return of the King ,17.0,1.0,NEGATIVE,0.7483034133911133
204,GOTHMOG,    Fire at will!  ,The Return of the King ,19.0,3.0,POSITIVE,0.9920929074287415
205,DENETHOR,    Set a fire in our flesh!  ,The Return of the King ,30.0,6.0,POSITIVE,0.996865451335907
206,GANDALF,    Stay this madness!  ,The Return of the King ,24.0,3.0,POSITIVE,0.8979063034057617
207,DENETHOR,"    You may triumph in the field of battle for a day, but against the power that     has risen in the east, there is no victory!  ",The Return of the King ,130.0,25.0,NEGATIVE,0.99479079246521
208,DENETHOR,"    NOOOOOO, you will not take my son from me!  ",The Return of the King ,48.0,9.0,NEGATIVE,0.9915947318077087
209,PIPPIN,    NO! Aaahhh ,The Return of the King ,15.0,2.0,NEGATIVE,0.9978548884391785
210,DENETHOR,    Faramir!  ,The Return of the King ,14.0,1.0,NEGATIVE,0.9084491729736328
